"year","rank","male","female"
1950,1,"Mehmet","Fatma"
1950,2,"Mustafa","Ayşe"
1950,3,"Ahmet","Emine"
1950,4,"Ali","Hatice"
1950,5,"Hüseyin","Zeynep"
1950,6,"Hasan","Şerife"
1950,7,"İsmail","Sultan"
1950,8,"İbrahim","Meryem"
1950,9,"Osman","Hanife"
1950,10,"Halil","Fadime"
1950,11,"Yusuf","Sevim"
1950,12,"Süleyman","Cemile"
1950,13,"Ömer","Zeliha"
1950,14,"Ramazan","Havva"
1950,15,"Abdullah","Hacer"
1950,16,"Kemal","Elif"
1950,17,"Yaşar","Hayriye"
1950,18,"Mahmut","Zehra"
1950,19,"Salih","Kadriye"
1950,20,"Recep","Döndü"
1950,21,"Celal","Naciye"
1950,22,"Mehmet Ali","Hava"
1950,23,"İsmet","Gülsüm"
1950,24,"Bekir","Asiye"
1950,25,"Muzaffer","Nuriye"
1950,26,"Kadir","Halime"
1950,27,"Cemal","Zekiye"
1950,28,"Selahattin","Makbule"
1950,29,"Şükrü","Nazmiye"
1950,30,"Bayram","Saniye"
1950,31,"Necati","Aysel"
1950,32,"Musa","Hanım"
1950,33,"Mevlüt","Keziban"
1950,34,"Dursun","Safiye"
1950,35,"Zeki","Güllü"
1950,36,"Nurettin","Münevver"
1950,37,"Arif","Meliha"
1950,38,"Şaban","Ayten"
1950,39,"Sabri","Perihan"
1950,40,"Adem","Türkan"
1950,41,"Murat","Müzeyyen"
1950,42,"Nuri","Şükran"
1950,43,"Orhan","Melek"
1950,44,"Muharrem","Hamide"
1950,45,"Emin","Leyla"
1950,46,"Abdurrahman","Huriye"
1950,47,"Veli","Rahime"
1950,48,"Cemil","Fikriye"
1950,49,"Ekrem","Remziye"
1950,50,"Kamil","Nurten"
1950,51,"Memet","Melahat"
1950,52,"İhsan","Feride"
1950,53,"Hikmet","Dudu"
1950,54,"Hasan Hüseyin","Yeter"
1950,55,"Fevzi","Rabia"
1950,56,"Remzi","Saliha"
1950,57,"Sami","Şükriye"
1950,58,"Sadık","Saadet"
1950,59,"Niyazi","Nazife"
1950,60,"Kazım","Gülten"
1950,61,"Halil İbrahim","Elmas"
1950,62,"Yılmaz","Hafize"
1950,63,"Nihat","Rukiye"
1950,64,"Halit","Necla"
1950,65,"Muammer","Hediye"
1950,66,"Nevzat","Zahide"
1950,67,"Durmuş","Sebahat"
1950,68,"Enver","Bedriye"
1950,69,"Metin","Aynur"
1950,70,"Haydar","Seher"
1950,71,"Yakup","Satı"
1950,72,"Aziz","Güler"
1950,73,"Cafer","Neriman"
1950,74,"Şevket","Nermin"
1950,75,"İlyas","Raziye"
1950,76,"Hakkı","Arife"
1950,77,"Tahsin","Esma"
